Cluster,Segment,Number of Customers,Average Tenure,Average MonthlyCharges,Average Churn Probability,Estimated Monthly Revenue at Risk
0,Higher-Value Moderate-Risk Customers,2331,55.46117546117546,88.3536465036465,0.16211926211926211,33388.843013728016
1,High-Risk Valuable Customers,2203,13.45120290512937,74.79752610077168,0.8070998584181743,132993.06721529545
2,Stable Customers,2498,27.652922337870297,33.99907926341073,0.11102126939646954,9429.003103461338
