Model,Accuracy,Precision,Recall,F1-score,ROC-AUC,Training Accuracy,Train-Test Accuracy Gap
Logistic Regression,0.7256574271499645,0.4901315789473684,0.7967914438502673,0.6069246435845214,0.8350930005021457,0.7555555555555555,0.02989812840559103
Random Forest,0.7668798862828714,0.5518018018018018,0.6550802139037433,0.5990220048899756,0.8125650330536158,0.9934222222222222,0.2265423359393508
